rnx,flux
ATPS_h,469.5824891
GLCt_e,0
GLCt_x,0
GLK_c,0
PFK_c,0
TPI_m,0
PGK_m,-11.62229227
PGAM_h,9.705095197
PYK_h,0
PPTPt_x,0
TPTPt_m,11.62229227
PYRNAt_h,21.471647
MPCt_m,-16.07917575
PGL_c,0
6PGTt_m,0
EDD_h,0
EDA_m,0
RUBISC_h,100
ACK_c,0.559620361
PYC_h,0
ICL_x,0
ARG_m,0
GLUDH_c,4.791120895
GLUDH2_m,1.387933088
GLUSA_m,4.684560853
P5CDH_m,4.684560853
PRODH_m,0
ORNC_c,0.493691117
AGAS_h,0
AGPR_h,5.500330524
UREASE_m,0
GLUSA_c,0
G5K_c,0
PRO4H_c,0
SERA_m,3.034121134
PSAT_m,3.034121134
THRA_c,0
ASPK_c,0
HSDH_m,0.110834654
HSDH_h,0.737320326
HSK_h,0.737320326
THRS_c,0
THRS_h,0.737320326
DHPS_h,4.172664813
DAPDC_h,4.172664813
APSK_h,0.176620145
PAPSR_h,0.165803571
HSAT_m,0.110834654
AHSAL_c,0.110834654
CBS_c,0
CGL_c,0
SHL_c,0.028096844
ASNAL_c,0.28769689
ASNA_c,0
PRAS_c,0.089318387
PRADP_c,0.089318387
PRAMPCH_c,0.089318387
IGPDH_c,0.089318387
IAPTA_c,0.089318387
HPP_c,0.089318387
ALPL_h,0.949451495
POXAAT_h,0.330507607
BCTAI_h,0.330507607
BCTAL_h,0
DHSR_h,1.770531521
SKMK_h,1.770531521
PPHTA_h,0
ARODH_h,0
PHEH_c,0
HTHBDH_m,0
THBPOX_m,0
CHRL_h,0.066027582
PRAI_c,0.066027582
IGPS_c,0.066027582
GTPCH_c,0
PTPS_c,0
SR_c,0
BACCL_m,0
ACP1619ZD9DS_h,0.526597607
ACP1819ZD9DS_h,0
FA161d9ACPH_h,0
FA181d9ACPH_h,0.063089389
BACCL_c,0
ACCOAC_c,0.078814534
FACOAL_140_c,0
FACOAL_161_9Z_c,0.003753336
FACOAL_162_9Z12Z_c,0.0007109
FACOAL_163_6Z9Z12Z_c,0
G3PDH_c,0.049730436
ETHAK_c,0.01806225
ETHAt_c,0.01806225
PETHMT_c,0.015804469
PETHDMT_c,0.015804469
PETHTMT_c,0.015804469
PCHOLCT_c,0.015804469
MI3PP_c,0.002709337
MI3PP_h,0
MI3PP_m,0
G1PUT_c,0
G1PUT_h,0.096565983
UGP_PGM_c,0.740426352
FCYTOB5OXR_c,-0.136047388
FCYTOB5OXR_m,0
COA181_9Z_9DS_c,0
FACOAL205_c,0.050466999
FACOAL226_c,0.004457086
G3PAT1619Z_c,0.003753336
G3PAT1819Z_c,0
G3PAT2055Z8Z11Z14Z17Z_c,0.043752132
G3PAT2264Z7Z10Z13Z16Z19Z_c,0.002228543
AGPATCOA_HDE_MYRS_c,0
AGPATCOA_HDE_PALM_c,3.04E-16
AGPATCOA_HDE_HDE_c,0
AGPATCOA_HDE_STC_c,0
AGPATCOA_HDE_OLE_c,0
AGPATCOA_HDE_EPA_c,0
AGPATCOA_HDE_DHA_c,0
