rxn,flux
PYC_h,11.04108036
ICL_x,0
ARG_m,0
GLUDH_c,-1.419939573
GLUDH2_m,9.089943004
GLUSA_m,-1.040615597
P5CDH_m,-1.040615597
PRODH_m,0
ORNC_c,0.629764375
AGAS_h,0
AGPR_h,0
UREASE_m,0
GLUSA_c,0
G5K_c,0
PRO4H_c,0
SERA_m,1.58380886
PSAT_m,1.58380886
THRA_c,0
ASPK_c,0
HSDH_m,0.141383376
HSDH_h,0.940543708
HSK_h,0.940543708
THRS_c,0.940543708
THRS_h,0
DHPS_h,0.423018304
DAPDC_h,0.423018304
APSK_h,0.212185775
PAPSR_h,0.201772279
HSAT_m,0.141383376
AHSAL_c,0.141383376
CBS_c,0
CGL_c,0
SHL_c,0.035841016
ASNAL_c,0
ASNA_c,0
PRAS_c,0.113936701
PRADP_c,0.113936701
PRAMPCH_c,0.113936701
IGPDH_c,0.113936701
IAPTA_c,0.113936701
HPP_c,0.113936701
ALPL_h,1.211143378
POXAAT_h,0.421603528
BCTAI_h,0.421603528
BCTAL_h,0
DHSR_h,0.768601151
SKMK_h,0.768601151
PPHTA_h,0
ARODH_h,0
PHEH_c,0
HTHBDH_m,0
THBPOX_m,0
CHRL_h,0.084226386
PRAI_c,0.084226386
IGPS_c,0.084226386
GTPCH_c,0
PTPS_c,0
SR_c,0
BACCL_m,0
ACP1619ZD9DS_h,0.666040637
ACP1819ZD9DS_h,0
FA161d9ACPH_h,0
FA181d9ACPH_h,0.085684728
BACCL_c,0
ACCOAC_c,0.118323651
FACOAL_140_c,0
FACOAL_161_9Z_c,0.007201177
FACOAL_162_9Z12Z_c,0.001363939
FACOAL_163_6Z9Z12Z_c,0
G3PDH_c,0.060054143
ETHAK_c,0.034654365
ETHAt_c,0.034654365
PETHMT_c,0.030322569
PETHDMT_c,0.030322569
PETHTMT_c,0.030322569
PCHOLCT_c,0.030322569
MI3PP_c,0
MI3PP_h,0
MI3PP_m,0.005198155
G1PUT_c,0
G1PUT_h,0.082609018
UGP_PGM_c,0.879573572
FCYTOB5OXR_c,-0.195240535
FCYTOB5OXR_m,0
COA181_9Z_9DS_c,0
FACOAL205_c,0.063935865
FACOAL226_c,0.008551398
G3PAT1619Z_c,0.007201177
G3PAT1819Z_c,0
G3PAT2055Z8Z11Z14Z17Z_c,0.051052672
G3PAT2264Z7Z10Z13Z16Z19Z_c,0.004275697
AGPATCOA_HDE_MYRS_c,0
AGPATCOA_HDE_PALM_c,0
AGPATCOA_HDE_HDE_c,0
AGPATCOA_HDE_STC_c,0
AGPATCOA_HDE_OLE_c,0
AGPATCOA_HDE_EPA_c,0
AGPATCOA_HDE_DHA_c,0
AGPATCOA_OLE_MYRS_c,0
AGPATCOA_OLE_PALM_c,0
AGPATCOA_OLE_HDE_c,0
AGPATCOA_OLE_STC_c,0
AGPATCOA_OLE_OLE_c,0
AGPATCOA_OLE_EPA_c,0
AGPATCOA_OLE_DHA_c,0
AGPATCOA_EPA_MYRS_c,0
AGPATCOA_EPA_PALM_c,0
AGPATCOA_EPA_HDE_c,0
AGPATCOA_EPA_STC_c,0
AGPATCOA_EPA_OLE_c,0.025596796
AGPATCOA_EPA_EPA_c,0.004331795
AGPATCOA_EPA_DHA_c,0
AGPATCOA_DHA_MYRS_c,0
AGPATCOA_DHA_PALM_c,0
AGPATCOA_DHA_HDE_c,0
AGPATCOA_DHA_STC_c,0
AGPATCOA_DHA_OLE_c,0
AGPATCOA_DHA_EPA_c,0
AGPATCOA_DHA_DHA_c,0.004275697
PAPA_HDE_PALM_c,0
PAPA_HDE_HDE_c,0
PAPA_HDE_STC_c,0
PAPA_HDE_OLE_c,1.42E-17
PAPA_HDE_EPA_c,0
PAPA_HDE_DHA_c,0
PAPA_OLE_PALM_c,0
PAPA_OLE_HDE_c,0
PAPA_OLE_STC_c,0
PAPA_OLE_OLE_c,0
PAPA_OLE_EPA_c,0
PAPA_OLE_DHA_c,0
PAPA_EPA_PALM_c,0
PAPA_EPA_HDE_c,0
PAPA_EPA_STC_c,0
PAPA_EPA_OLE_c,0.025596796
PAPA_EPA_EPA_c,0.004331795
