rxn,flux
ACN_a_m,-3.933627298
ACN_b_m,3.933627298
EX_photon_e,-2169.774228
PHOt_e,2169.774228
PHOt_h,1735.819339
PSII_u,210.0848076
CBFC_u,459.2155185
PSI_u,447.7351305
ATPS_h,563.443178
GLCt_e,0
GLCt_x,0
GLK_c,0
PFK_c,0
TPI_m,-3.50E-14
PGK_m,0
PGAM_h,0.426627686
PYK_h,0
PPTPt_x,0
TPTPt_m,-3.50E-14
PYRNAt_h,29.37585021
MPCt_m,-25.69174167
PGL_c,0
6PGTt_m,0
EDD_h,0
EDA_m,0
RUBISC_h,100
ACK_c,0.202792482
PYC_h,0
ICL_x,0
ARG_m,0
GLUDH_c,0.050284691
GLUDH2_m,-4.185183321
GLUSA_m,15.47232306
P5CDH_m,41.96547241
PRODH_m,26.49314936
ORNC_c,0.174781756
AGAS_h,0
AGPR_h,42.25427983
UREASE_m,0
GLUSA_c,0
G5K_c,0
PRO4H_c,0
SERA_m,0
PSAT_m,0
THRA_c,0
ASPK_c,0
HSDH_m,0.039238858
HSDH_h,3.627582195
HSK_h,3.627582195
THRS_c,0
THRS_h,3.627582195
DHPS_h,3.381131805
DAPDC_h,3.381131805
APSK_h,101.3624273
PAPSR_h,0.054082485
HSAT_m,0.039238858
AHSAL_c,0.039238858
CBS_c,0
CGL_c,0
SHL_c,0.009947142
ASNAL_c,0.101853499
ASNA_c,0
PRAS_c,0.031621441
PRADP_c,0.031621441
PRAMPCH_c,0.031621441
IGPDH_c,0.031621441
IAPTA_c,0.031621441
HPP_c,0.031621441
ALPL_h,9.296838547
POXAAT_h,3.483558049
BCTAI_h,3.483558049
BCTAL_h,0
DHSR_h,0.213313843
SKMK_h,0.213313843
PPHTA_h,0.068268806
ARODH_h,0.068268806
PHEH_c,0
HTHBDH_m,0
THBPOX_m,0
CHRL_h,0.023375784
PRAI_c,0.023375784
IGPS_c,0.023375784
GTPCH_c,0
PTPS_c,0
SR_c,0
BACCL_m,-5.14E-16
ACP1619ZD9DS_h,0.287618277
ACP1819ZD9DS_h,0
FA161d9ACPH_h,0
FA181d9ACPH_h,0.015224823
BACCL_c,0
ACCOAC_c,0.020021274
FACOAL_140_c,0
FACOAL_161_9Z_c,0.001144835
FACOAL_162_9Z12Z_c,0.000216837
